Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Torque_RollingMean,Torque_RollingStd,Torque_RollingVar,AirTemp_RollingMean,AirTemp_RollingStd,AirTemp_RollingVar,ProcessTemp_RollingMean,ProcessTemp_RollingStd,ProcessTemp_RollingVar,RPM_RollingMean,RPM_RollingStd,RPM_RollingVar,ToolWear_RollingMean,ToolWear_RollingStd,ToolWear_RollingVar,Temp_Difference,Power_Index,Wear_Torque,Temp_Ratio,RPM_per_Torque
1,298.2,308.7,1408,40.0,9,0,43.6,4.223150482755735,17.835,298.15999999999997,0.05477225575051307,0.0029999999999996115,308.62,0.0836660026534045,0.006999999999999488,1459.6,62.970628073729735,3965.2999999999993,4.8,3.492849839314596,12.2,10.5,56320.0,360.0,1.0352112676056338,34.34146341463415
2,298.1,308.6,1425,41.9,11,0,43.419999999999995,4.284506972803289,18.357000000000003,298.15999999999997,0.05477225575051307,0.0029999999999996115,308.62,0.0836660026534045,0.006999999999999488,1434.4,37.17929531338641,1382.299999999997,7.0,3.1622776601683795,10.0,10.5,59707.5,460.9,1.0352230795035222,33.21678321678322
1,298.1,308.6,1558,42.4,14,0,42.64,3.9727824002832084,15.783000000000012,298.14,0.05477225575050139,0.0029999999999983326,308.6,0.07071067811863264,0.004999999999996873,1464.4,62.46839200747842,3902.299999999994,9.2,3.492849839314596,12.200000000000001,10.5,66059.2,593.6,1.0352230795035222,35.89861751152074
1,298.1,308.6,1527,40.2,16,0,40.8,1.2708265027138925,1.6150000000000229,298.14,0.05477225575050139,0.0029999999999983326,308.62,0.04472135955000755,0.0020000000000010513,1470.2,67.51073988633212,4557.699999999993,11.4,3.646916505762094,13.3,10.5,61385.4,643.2,1.0352230795035222,37.0631067961165
2,298.3,308.7,1667,28.6,18,0,38.62,5.697543330243311,32.462000000000046,298.15999999999997,0.08944271909998187,0.007999999999998262,308.64,0.05477225575056409,0.0030000000000052008,1517.0,105.62433431742892,11156.499999999993,13.6,3.646916505762094,13.3,10.399999999999977,47676.200000000004,514.8000000000001,1.0348642306402949,56.317567567567565
2,298.5,309.0,1741,28.0,21,0,36.22,7.278873539222953,52.98200000000008,298.22,0.1788854381999675,0.031999999999994394,308.7,0.1732050807569382,0.03000000000001748,1583.6,123.23067799862174,15185.799999999997,16.0,3.8078865529319543,14.5,10.5,48748.0,588.0,1.035175879396985,60.03448275862069
0,298.4,308.9,1782,23.9,24,0,32.62,8.16468003047273,66.66200000000018,298.28000000000003,0.1788854381999675,0.031999999999994394,308.76,0.18165902124592503,0.033000000000027445,1655.0,111.20026978384541,12365.500000000002,18.6,3.974921382870358,15.799999999999997,10.5,42589.799999999996,573.5999999999999,1.0351876675603218,71.56626506024097
0,298.6,309.1,1423,44.3,29,0,33.0,8.756426211645945,76.67500000000015,298.38,0.19235384061674488,0.037000000000012086,308.86,0.20736441353340643,0.04300000000005359,1628.0,150.1932089010685,22558.0,21.6,5.128352561983233,26.29999999999999,10.5,63038.899999999994,1284.6999999999998,1.0351640991292699,31.412803532008834
2,298.6,309.1,1339,51.1,34,0,35.17999999999999,11.818502443203203,139.67700000000008,298.48,0.13038404810417126,0.017000000000030845,308.96,0.16733200530707992,0.028000000000088624,1590.4,197.78978740066435,39120.8,25.2,6.379655163094632,40.69999999999999,10.5,68422.90000000001,1737.4,1.0351640991292699,25.70057581573896
2,298.6,309.2,1742,30.0,37,0,35.46,11.638857332229831,135.46300000000008,298.54,0.08944271910019834,0.008000000000036984,309.06,0.11401754251042022,0.013000000000115483,1605.4,207.64946424202495,43118.3,29.0,6.670832032063166,44.499999999999986,10.599999999999966,52260.0,1110.0,1.0354989953114533,56.193548387096776
